epoch,train_loss,val_loss,val_auroc,val_auprc,lr,beta
1,33.815415,28.177429,0.941490,0.635122,1.00e-03,0.000500
2,28.159518,26.536091,0.943286,0.664774,1.00e-03,0.001000
3,27.316933,25.934698,0.942558,0.672420,1.00e-03,0.001500
4,27.028280,25.593033,0.941806,0.687438,1.00e-03,0.002000
5,26.710654,25.115963,0.943882,0.698482,1.00e-03,0.002500
6,26.522234,25.033699,0.942612,0.702908,1.00e-03,0.003000
7,26.410612,24.767349,0.942923,0.704361,1.00e-03,0.003500
8,26.320267,24.545729,0.941630,0.704683,1.00e-03,0.004000
9,26.239410,24.776114,0.942720,0.702504,1.00e-03,0.004500
10,26.153659,24.478258,0.943641,0.695749,1.00e-03,0.005000
11,26.082654,24.549494,0.947019,0.695058,1.00e-03,0.005000
12,26.040356,24.371759,0.943332,0.703912,1.00e-03,0.005000
13,25.984970,24.290579,0.944312,0.699418,1.00e-03,0.005000
14,25.924541,24.338263,0.944403,0.695470,1.00e-03,0.005000
15,25.866194,24.274261,0.942127,0.694798,1.00e-03,0.005000
16,25.822330,24.404129,0.945471,0.693852,1.00e-03,0.005000
17,25.776171,24.073473,0.942774,0.696023,5.00e-04,0.005000
18,25.759626,24.199669,0.942658,0.694290,5.00e-04,0.005000
19,25.768469,24.240992,0.944025,0.694608,5.00e-04,0.005000
20,25.745681,24.293036,0.943337,0.693549,5.00e-04,0.005000
21,25.721084,24.233437,0.943469,0.693904,5.00e-04,0.005000
22,25.702296,24.216402,0.942484,0.691124,5.00e-04,0.005000
23,25.675903,24.224243,0.943919,0.694490,5.00e-04,0.005000
24,25.646823,24.042789,0.942665,0.693187,5.00e-04,0.005000
25,25.630252,24.173706,0.943770,0.692970,2.50e-04,0.005000
26,25.651943,24.052216,0.940399,0.692374,2.50e-04,0.005000
27,25.669186,24.199986,0.941802,0.690311,2.50e-04,0.005000
28,25.606822,24.122555,0.943233,0.693008,2.50e-04,0.005000
