epoch,train_loss,val_loss,val_auroc,val_auprc,lr,beta
1,25.200982,24.497623,0.949686,0.446578,1.00e-03,0.000100
2,23.629685,24.074543,0.951305,0.455180,1.00e-03,0.000200
3,23.452996,24.061071,0.951421,0.446480,1.00e-03,0.000300
4,23.387634,23.853819,0.951290,0.450115,1.00e-03,0.000400
5,23.370953,23.774376,0.951188,0.454160,1.00e-03,0.000500
6,23.346601,23.759058,0.951245,0.452181,1.00e-03,0.000600
7,23.336264,23.695129,0.951138,0.452735,1.00e-03,0.000700
8,23.325265,23.722137,0.951157,0.453832,1.00e-03,0.000800
9,23.290085,23.666199,0.951315,0.451209,5.00e-04,0.000900
10,23.288135,23.655674,0.951461,0.451505,5.00e-04,0.001000
11,23.268203,23.550337,0.950746,0.451126,5.00e-04,0.001000
12,23.252108,23.686098,0.950954,0.450049,5.00e-04,0.001000
