epoch,train_loss,val_loss,val_auroc,val_auprc,lr,beta
1,24.525887,22.344475,0.952084,0.465356,1.00e-03,0.000500
2,21.719128,20.942753,0.952622,0.475662,1.00e-03,0.001000
3,21.160184,20.364218,0.946534,0.466177,1.00e-03,0.001500
4,20.882997,20.112736,0.945908,0.468466,1.00e-03,0.002000
5,20.734584,19.824514,0.947324,0.465446,1.00e-03,0.002500
6,20.565195,19.625353,0.947791,0.471044,1.00e-03,0.003000
7,20.486319,19.508820,0.947446,0.471126,1.00e-03,0.003500
8,20.424634,19.338428,0.948294,0.476828,1.00e-03,0.004000
9,20.325993,19.333626,0.947236,0.480225,1.00e-03,0.004500
10,20.291429,19.242058,0.947288,0.478883,1.00e-03,0.005000
11,20.266705,19.197697,0.947125,0.479461,1.00e-03,0.005000
12,20.232265,19.097706,0.947529,0.481074,1.00e-03,0.005000
13,20.216938,19.131298,0.945545,0.478006,1.00e-03,0.005000
14,20.183236,19.150286,0.945822,0.475164,1.00e-03,0.005000
15,20.154960,19.021507,0.944704,0.477414,1.00e-03,0.005000
16,20.136399,19.074526,0.944998,0.477231,1.00e-03,0.005000
17,20.140518,18.918993,0.942820,0.479201,1.00e-03,0.005000
18,20.113752,18.990231,0.942800,0.476994,1.00e-03,0.005000
19,20.107706,18.955318,0.944911,0.478300,1.00e-03,0.005000
20,20.097716,18.987547,0.944499,0.480204,1.00e-03,0.005000
21,20.050678,18.953014,0.944426,0.480965,5.00e-04,0.005000
22,20.038906,18.923637,0.943711,0.480764,5.00e-04,0.005000
23,20.040285,18.901920,0.943047,0.477953,5.00e-04,0.005000
24,20.008853,18.886066,0.943279,0.478703,5.00e-04,0.005000
25,20.040951,18.897528,0.943098,0.480370,5.00e-04,0.005000
26,20.016443,18.844387,0.942811,0.478938,5.00e-04,0.005000
27,20.004247,18.890854,0.942648,0.480095,5.00e-04,0.005000
28,20.014506,18.843182,0.943035,0.481072,5.00e-04,0.005000
29,19.995287,18.890854,0.942608,0.478703,2.50e-04,0.005000
30,19.988901,18.962053,0.943926,0.479039,2.50e-04,0.005000
31,19.994697,18.813662,0.943705,0.481301,2.50e-04,0.005000
32,19.997029,18.849798,0.943872,0.481565,2.50e-04,0.005000
33,20.003398,18.871519,0.944584,0.481425,2.50e-04,0.005000
34,19.988380,18.916567,0.944510,0.480602,2.50e-04,0.005000
35,19.977763,18.886496,0.942929,0.479443,2.50e-04,0.005000
36,19.964597,18.863455,0.943224,0.479636,2.50e-04,0.005000
37,19.976005,18.834095,0.942263,0.478721,2.50e-04,0.005000
38,19.991353,18.876513,0.943283,0.479780,2.50e-04,0.005000
39,19.982205,18.901180,0.943411,0.479470,2.50e-04,0.005000
40,19.978295,18.896065,0.943553,0.480232,2.50e-04,0.005000
41,19.969665,18.860184,0.942579,0.479867,1.25e-04,0.005000
42,19.950719,18.876184,0.944476,0.480315,1.25e-04,0.005000
43,19.984997,18.857433,0.942473,0.478852,1.25e-04,0.005000
44,19.975530,18.853682,0.942669,0.479637,1.25e-04,0.005000
45,19.973275,18.858927,0.943217,0.478709,1.25e-04,0.005000
46,19.974525,18.873558,0.942637,0.479584,1.25e-04,0.005000
47,19.992048,18.853374,0.943247,0.479843,1.25e-04,0.005000
48,19.965875,18.889641,0.943502,0.479934,1.25e-04,0.005000
49,19.980074,18.784571,0.941247,0.480029,6.25e-05,0.005000
50,19.977588,18.860731,0.942434,0.479992,6.25e-05,0.005000
51,19.974928,18.813911,0.943046,0.480694,6.25e-05,0.005000
52,19.958239,18.850401,0.943244,0.480371,6.25e-05,0.005000
