epoch,train_loss,val_loss,val_auroc,val_auprc,lr,beta
1,33.824826,28.204157,0.940425,0.631309,1.00e-03,0.000100
2,28.163049,26.525627,0.944445,0.650722,1.00e-03,0.000200
3,27.324597,25.941298,0.944050,0.655918,1.00e-03,0.000300
4,26.984045,25.700258,0.942393,0.657309,1.00e-03,0.000400
5,26.805124,25.613922,0.942086,0.657702,1.00e-03,0.000500
6,26.652554,25.423073,0.944210,0.664122,1.00e-03,0.000600
7,26.454387,24.976444,0.943331,0.669894,1.00e-03,0.000700
8,26.286840,24.829300,0.944187,0.674707,1.00e-03,0.000800
9,26.106625,24.649406,0.946519,0.676852,1.00e-03,0.000900
10,26.018395,24.373491,0.942333,0.671290,1.00e-03,0.001000
11,25.911315,24.363579,0.944531,0.672885,1.00e-03,0.001100
12,25.784633,24.238398,0.946913,0.676767,1.00e-03,0.001200
13,25.729624,24.242210,0.946369,0.679052,1.00e-03,0.001300
14,25.677044,24.471663,0.946418,0.672323,1.00e-03,0.001400
15,25.636078,24.076277,0.945254,0.678609,1.00e-03,0.001500
16,25.597885,24.257984,0.947051,0.676002,1.00e-03,0.001600
17,25.535692,23.845907,0.944840,0.675843,1.00e-03,0.001700
18,25.526647,24.013659,0.945604,0.673409,1.00e-03,0.001800
19,25.473048,24.048275,0.947882,0.675191,1.00e-03,0.001900
20,25.416247,24.062088,0.948102,0.673627,1.00e-03,0.002000
21,25.361109,24.024960,0.947492,0.673552,1.00e-03,0.002100
22,25.300217,23.916128,0.948680,0.675866,5.00e-04,0.002200
23,25.271610,23.827803,0.947453,0.674403,5.00e-04,0.002300
24,25.250086,23.637157,0.948274,0.675349,5.00e-04,0.002400
25,25.225059,23.787609,0.946864,0.672898,5.00e-04,0.002500
26,25.220191,23.741470,0.946279,0.671490,5.00e-04,0.002600
27,25.233695,23.725691,0.947142,0.671596,5.00e-04,0.002700
28,25.169051,23.746372,0.948884,0.673780,5.00e-04,0.002800
29,25.133579,23.640383,0.947177,0.671721,5.00e-04,0.002900
30,25.130352,23.673388,0.947476,0.671547,2.50e-04,0.003000
31,25.113359,23.675632,0.947375,0.672431,2.50e-04,0.003100
32,25.065658,23.706913,0.947119,0.672334,2.50e-04,0.003200
33,25.034097,23.589886,0.948899,0.674872,2.50e-04,0.003300
